Date,NFC,FC,Govt,HH,RoW
31/12/1970,0,0,1648,-3420.800049,4263
31/12/1971,2515.336914,-2597,5024,-8230.980469,3306
31/12/1972,2855.76001,-2429,5611,-7126.290039,1112
31/12/1973,4078.322021,-3753,7190,-10813.25,3342
31/12/1974,-1325.675049,-285,4634,-9972.570313,7008
31/12/1975,6968.908203,-4096,-4906,-1540.829956,3611
31/12/1976,-1374.342041,-1698,-2286,-7120.910156,12539
31/12/1977,-1352.921021,421,-2703,-6762.089844,10393
31/12/1978,-2103.865967,865,-3289,-2409.879883,6972
31/12/1979,105.5692978,-2378,-8219,-3389.610107,13948
31/12/1980,-4994.666992,3667,-14401,5832.75,9946
31/12/1981,6097,4364,-30051,12010,7580
31/12/1982,4779,5070,-47953,22197,15907
31/12/1983,10768,12062,-42953,10003,10120
31/12/1984,8503,9421,-27208,-4280,13564
31/12/1985,5620,14580,-17041,-26208,23049
31/12/1986,-21630,8535,14918,-33546,31723
31/12/1987,-16587,20354,11163,-29606,14676
31/12/1988,-4051,14203,1733,-13723,1838
31/12/1989,-18543,28240,-5482,-5320,1105
31/12/1990,4948.106934,23000,-13158,-1963.109985,-12827
31/12/1991,24696.98047,15708,-26098,1031.02002,-15338
31/12/1992,19994.5,16215,-23733,13865.5,-26342
31/12/1993,41280.5,19135,-34097,9291.5,-35610
31/12/1994,37431.78125,32211,-35788,-10260.78027,-23594
31/12/1995,34468.03906,28509.99023,-37521,-7833.210938,-17623.08984
31/12/1996,56780.71094,21483.0293,-27011,-24146.90039,-27104.30078
31/12/1997,53793.14844,22991.19922,-13756,-44428.66016,-18600.64063
31/12/1998,29923.64063,16306.44043,-4608,-37573.73828,-4048.397949
31/12/1999,75841.35938,12371.12012,10788,-54179.66016,-44819.80859
31/12/2000,76185.42969,-6305.521973,25043,-64717.62891,-30206.07031
31/12/2001,36372.32813,27814.25977,15643,-27580.08984,-52248.91016
31/12/2002,89485.71094,-24317.48047,-217,-12836.75,-52114.76172
31/12/2003,94980.72656,-20531.57031,-1913,-14104.91016,-58431.44141
31/12/2004,68627.10156,2835.873047,31222,-46509.57813,-56175.51953
31/12/2005,53886.46875,20138.59961,78587,-83903.38281,-68708.35156
31/12/2006,33849.87891,23099.10938,83896,-84863.88281,-55980.67188
31/12/2007,-16501.28906,51456.85938,87298,-96828.52344,-25424.83984
31/12/2008,-1373.68396,76677.17188,57177,-79500.52344,-52979.17969
31/12/2009,26698.34961,92813.39063,-48188,-11922.94043,-59401.01953
31/12/2010,60119.55078,102665.3984,-49080,5612.077148,-119316.7969
31/12/2011,82935.20313,95384.13281,-37967,-12957.07031,-127396.3984
31/12/2012,95490.47656,79331.70313,-66144,10809.48047,-119487.7031
31/12/2013,84604.96094,73095.07813,-19304,10736.08984,-149132.2031
31/12/2014,120232.2969,57014.16016,28209,-33592.46875,-171866.2031
31/12/2015,128420.2031,53014.25,-27229,24191.82031,-178397.2969
