"";"DK_gdp_Long_ts"
"1";232574
"2";269461
"3";298865
"4";332877
"5";370197
"6";400868
"7";440780
"8";503384
"9";554597
"10";612129
"11";663955
"12";712645
"13";748427
"14";777844
"15";821734
"16";855557
"17";890551
"18";923014
"19";928466
"20";993286
"21";1036483
"22";1088024
"23";1146129
"24";1185988
"25";1241521
"26";1326912
"27";1371526
"28";1410271
"29";1436751
"30";1506001
"31";1585984
"32";1682260
"33";1738845
"34";1801470
"35";1722143
"36";1810926
"37";1846854
"38";1895002
"39";1929677
"40";1981165
"41";2027108
"42";2065962
