"";"DNK";"NOR";"SWE"
"1";1,6329376393;3,232029117;1,2618287016
"2";4,089578513;4,0259439224;1,9909537612
"3";2,0336827884;2,9768633347;3,2398021475
"4";0,0527071346;-0,1645361058;3,72924621
"5";-1,1783764695;-2,7121727635;4,1619120179
"6";-1,6681167274;-3,1918462717;2,7150297441
"7";-2,2181000714;-3,3958262396;-0,3323882707
"8";-2,2860825831;-2,934666871;-3,0084374915
"9";-4,2273496699;-2,7355159679;-6,3226747992
"10";-1,3140997957;-1,7771466102;-4,362449464
"11";-0,6873926363;-1,2669161179;-2,4750309036
"12";-0,1993346622;-0,2172765743;-3,3205512842
"13";0,5511503619;1,6206604646;-2,9233483115
"14";0,311922852;1,7320227792;-1,749019568
"15";1,0313508199;0,6220993728;-0,5609322417
"16";2,7006600574;0,6025895109;1,1728823534
"17";1,6173116259;-0,2843558661;-0,0901641567
"18";0,3859251458;-1,5143526025;-0,733220827
"19";-0,6325580003;-3,0745498275;-0,78806168
"20";0,7100407029;-1,0975498299;0,5134517655
"21";1,8204495167;0,3725764622;0,8529722585
"22";4,4506369991;1,8478747357;3,3089000642
"23";4,1073060637;4,0247217406;4,4309729354
"24";2,3987092658;2,4980397076;1,4043571071
"25";-3,451967594;-1,7006521378;-5,3505173039
"26";-2,3426960769;-2,0802537344;-1,5567041295
"27";-1,7742650648;-2,3471021929;-0,7101244689
"28";-2,4344716504;-0,7843022825;-2,4583674767
"29";-2,612893515;-0,6806042727;-3,0966450085
"30";-2,2977047635;-0,4782395605;-2,3759032108
"31";-2,0852903142;-0,8108519474;-0,3157937839
"32";-1,6061955074;-1,5338995881;0,5479570517
"33";-1,0124747238;-1,4016559947;1,3179797009
